Brand Name	Discounted Price	Original Price	Price Change
MARNI	"HKD 4,192"	"HKD 13,975"	70% off
IRO	"HKD 4,708"	"HKD 11,771"	60% off
BELSTAFF	"HKD 1,838"	"HKD 4,595"	60% off
RAG & BONE	"HKD 2,887"	"HKD 5,775"	50% off
VINCE.	"HKD 3,807"	"HKD 6,345"	40% off
MM6 MAISON MARGIELA	"HKD 2,515"	"HKD 6,135"	59% off
THEORY	"HKD 2,444"	"HKD 5,555"	56% off
SONIA RYKIEL	"HKD 4,907"	"HKD 10,905"	55% off
MICHAEL KORS COLLECTION	"HKD 9,144"	"HKD 18,288"	50% off
JIL SANDER	"HKD 7,928"	"HKD 19,820"	60% off
DROME	"HKD 5,400"	"HKD 15,005"	64% off
ISABEL MARANT	"HKD 3,848"	"HKD 8,547"	55% off
IRO	"HKD 2,770"	"HKD 6,298"	56% off
JIL SANDER	"HKD 4,608"	"HKD 11,522"	60% off
REDVALENTINO	"HKD 3,128"	"HKD 8,935"	65% off
MAISON MARGIELA	"HKD 6,158"	"HKD 17,595"	65% off
JIL SANDER	"HKD 4,478"	"HKD 14,925"	70% off
MAJE	"HKD 2,114"	"HKD 3,522"	40% off
OPENING CEREMONY	"HKD 2,834"	"HKD 6,298"	55% off
TORY BURCH	"HKD 5,720"	"HKD 14,303"	60% off
LOVE MOSCHINO	"HKD 2,532"	"HKD 5,065"	50% off
MSGM	"HKD 1,866"	"HKD 4,445"	58% off
ANTONIO BERARDI	"HKD 3,859"	"HKD 11,028"	65% off
CARVEN	"HKD 1,640"	"HKD 3,815"	57% off
CARVEN	"HKD 1,998"	"HKD 4,438"	55% off
MOTHER OF PEARL	"HKD 2,468"	"HKD 4,934"	50% off
AMANDA WAKELEY	"HKD 6,632"	"HKD 16,580"	60% off
JOSEPH	"HKD 2,297"	"HKD 4,595"	50% off
AINEA	"HKD 1,618"	"HKD 3,443"	53% off
3.1 PHILLIP LIM	"HKD 5,195"	"HKD 10,390"	50% off
DKNY	"HKD 1,830"	"HKD 3,590"	49% off
THOM BROWNE	"HKD 12,950"	"HKD 32,375"	60% off
MARISSA WEBB	"HKD 2,582"	"HKD 5,165"	50% off
MARISSA WEBB	"HKD 2,210"	"HKD 4,420"	50% off
AMANDA WAKELEY	"HKD 5,290"	"HKD 13,225"	60% off
CHALAYAN	"HKD 4,267"	"HKD 9,925"	57% off
ALICE + OLIVIA	"HKD 4,550"	"HKD 9,100"	50% off
ALICE + OLIVIA	"HKD 4,550"	"HKD 9,100"	50% off
GOAT	"HKD 2,437"	"HKD 4,975"	51% off
MARNI	"HKD 4,681"	"HKD 15,605"	70% off
MARNI	"HKD 4,192"	"HKD 13,975"	70% off
BELSTAFF	"HKD 3,927"	"HKD 9,580"	59% off
TOMAS MAIER	"HKD 2,874"	"HKD 8,209"	65% off
THOM BROWNE	"HKD 7,666"	"HKD 19,165"	60% off
STELLA JEAN	"HKD 3,579"	"HKD 7,955"	55% off
MAISON KITSUNÉ	"HKD 2,553"	"HKD 4,255"	40% off
OSMAN	"HKD 2,894"	"HKD 7,423"	61% off
YVES SALOMON	"HKD 11,274"	"HKD 22,547"	50% off
ALEXANDER WANG	"HKD 4,096"	"HKD 10,240"	60% off
MAX MARA	"HKD 16,604"	"HKD 41,511"	60% off
EMILIO PUCCI	"HKD 4,159"	"HKD 9,244"	55% off
JIL SANDER	"HKD 9,124"		
YVES SALOMON	"HKD 13,354"	"HKD 26,706"	50% off
ACNE STUDIOS	"HKD 3,313"	"HKD 7,050"	53% off
MARNI	"HKD 4,398"	"HKD 12,567"	65% off
VETEMENTS	"HKD 17,598"	"HKD 35,193"	50% off
THE ROW	"HKD 10,588"	"HKD 21,174"	50% off
MARNI	"HKD 2,412"	"HKD 6,348"	62% off
MICHAEL KORS COLLECTION	"HKD 6,019"	"HKD 20,756"	71% off
MIU MIU	"HKD 9,729"	"HKD 23,731"	59% off
ISABEL MARANT	"HKD 3,848"	"HKD 8,547"	55% off
HELMUT LANG	"HKD 1,847"	"HKD 4,105"	55% off
BY MALENE BIRGER	"HKD 1,774"	"HKD 3,940"	55% off
BELSTAFF	"HKD 4,908"	"HKD 12,268"	60% off
PETER PILOTTO	"HKD 4,678"	"HKD 11,691"	60% off
AINEA	"HKD 1,397"	"HKD 2,740"	49% off
MILLY	"HKD 4,446"	"HKD 11,115"	60% off
JOSEPH	"HKD 3,214"	"HKD 6,179"	48% off
ALICE + OLIVIA	"HKD 2,762"	"HKD 6,139"	55% off
IRO	"HKD 2,404"	"HKD 6,010"	60% off
MSGM	"HKD 2,375"	"HKD 5,164"	54% off
THEORY	"HKD 2,010"	"HKD 4,020"	50% off
CARVEN	"HKD 1,640"	"HKD 3,815"	57% off
RAG & BONE	"HKD 2,482"	"HKD 5,642"	56% off
IRO	"HKD 2,005"	"HKD 4,557"	56% off
OPENING CEREMONY	"HKD 2,120"	"HKD 5,303"	60% off
L'AGENCE	"HKD 1,618"	"HKD 4,040"	60% off
CARVEN	"HKD 2,425"	"HKD 5,390"	55% off
GANNI	"HKD 1,252"	"HKD 2,610"	52% off
THEORY	"HKD 2,364"	"HKD 7,877"	70% off
AINEA	"HKD 1,338"	"HKD 2,905"	54% off
MAJE	"HKD 1,430"	"HKD 2,861"	50% off
JIL SANDER	"HKD 6,930"	"HKD 17,325"	60% off
MAISON MARGIELA	"HKD 5,791"	"HKD 14,850"	61% off
MAISON MARGIELA	"HKD 4,378"	"HKD 10,945"	60% off
JIL SANDER	"HKD 3,696"	"HKD 9,015"	59% off
MAISON MARGIELA	"HKD 3,257"	"HKD 7,755"	58% off
MAISON MARGIELA	"HKD 3,246"	"HKD 7,550"	57% off
SEA	"HKD 3,307"	"HKD 7,350"	55% off
THEORY	"HKD 2,006"	"HKD 4,270"	53% off
GOAT	"HKD 1,529"	"HKD 3,325"	54% off
RICK OWENS	"HKD 5,482"	"HKD 10,965"	50% off
J.W.ANDERSON	"HKD 5,659"	"HKD 16,170"	65% off
BELSTAFF	"HKD 3,019"	"HKD 6,565"	54% off
YVES SALOMON	"HKD 4,850"	"HKD 9,700"	50% off
MARNI	"HKD 18,208"	"HKD 36,417"	50% off
DION LEE	"HKD 5,717"	"HKD 16,335"	65% off
RAG & BONE	"HKD 2,887"	"HKD 5,775"	50% off
TOD'S	"HKD 8,938"	"HKD 19,860"	55% off
OSCAR DE LA RENTA	"HKD 8,200"	"HKD 19,074"	57% off
RICK OWENS	"HKD 7,499"	"HKD 16,666"	55% off
ROLAND MOURET	"HKD 5,289"	"HKD 13,224"	60% off
YVES SALOMON	"HKD 9,825"	"HKD 19,651"	50% off
ROBERTO CAVALLI	"HKD 4,095"	"HKD 10,239"	60% off
IRO	"HKD 2,340"	"HKD 5,851"	60% off
MCQ ALEXANDER MCQUEEN	"HKD 2,568"	"HKD 5,350"	52% off
REDVALENTINO	"HKD 1,850"	"HKD 4,115"	55% off
TOPSHOP UNIQUE	"HKD 1,720"	"HKD 3,443"	50% off
"VICTORIA, VICTORIA BECKHAM"	"HKD 4,125"	"HKD 8,250"	50% off
YVES SALOMON	"HKD 11,422"	"HKD 22,845"	50% off
DOLCE & GABBANA	"HKD 44,000"	"HKD 110,000"	60% off
"VICTORIA, VICTORIA BECKHAM"	"HKD 2,737"	"HKD 5,475"	50% off
STELLA JEAN	"HKD 4,190"	"HKD 10,475"	60% off
M MISSONI	"HKD 2,797"	"HKD 5,595"	50% off
