University_name,Ranking,Country,Source
Western University,"#276
Tie",Canada,USNEWS
Tongji University,"#279
Tie",China,USNEWS
University of Kansas,"#279
Tie",United States,USNEWS
University of Western Sydney,"#279
Tie",Australia,USNEWS
University of Trieste,#282,Italy,USNEWS
Communaute d'Universites et Etablissements d'Aquitaine (ComUE),"#283
Tie",France,USNEWS
Norwegian University of Science and Technology,"#283
Tie",Norway,USNEWS
Wuhan University,#285,China,USNEWS
University of Genoa,"#286
Tie",Italy,USNEWS
University of Warsaw,"#286
Tie",Poland,USNEWS
Universite Lille-Nord-de-France (ComUE),"#288
Tie",France,USNEWS
University of Porto,"#288
Tie",Portugal,USNEWS
Nagoya University,"#290
Tie",Japan,USNEWS
Pontificia University Católica de Chile,"#290
Tie",Chile,USNEWS
Simon Fraser University,"#290
Tie",Canada,USNEWS
University of East Anglia,"#290
Tie",United Kingdom,USNEWS
University of Georgia,"#290
Tie",United States,USNEWS
University of Nebraska--Lincoln,"#290
Tie",United States,USNEWS
University of Perugia,"#290
Tie",Italy,USNEWS
Washington State University,"#290
Tie",United States,USNEWS
Georgetown University,"#298
Tie",United States,USNEWS
University at Albany--SUNY,"#298
Tie",United States,USNEWS
University of Duisburg-Essen,"#298
Tie",Germany,USNEWS
École Polytechnique,"#301
Tie",France,USNEWS
University of Dundee,"#301
Tie",United Kingdom,USNEWS
Polytechnic University of Milan,"#303
Tie",Italy,USNEWS
University of Southern Denmark,"#303
Tie",Denmark,USNEWS
State University of Campinas,"#305
Tie",Brazil,USNEWS
Tokyo Institute of Technology,"#305
Tie",Japan,USNEWS
University of South Carolina–Columbia,"#305
Tie",United States,USNEWS
University of Ulm,#307,Germany,USNEWS
Umeå University,#308,Sweden,USNEWS
Wayne State University,#309,United States,USNEWS
University of South Florida,#310,United States,USNEWS
Southeast University,"#311
Tie",China,USNEWS
University of Delaware,"#311
Tie",United States,USNEWS
University of Granada,"#311
Tie",Spain,USNEWS
University of Reading,"#311
Tie",United Kingdom,USNEWS
Indiana University-Purdue University--Indianapolis,"#315
Tie",United States,USNEWS
Laval University,"#315
Tie",Canada,USNEWS
RMIT University,"#315
Tie",Australia,USNEWS
University of Canterbury,#318,New Zealand,USNEWS
Temple University,"#319
Tie",United States,USNEWS
University of Innsbruck,"#319
Tie",Austria,USNEWS
University of Tasmania,"#319
Tie",Australia,USNEWS
Dalhousie University,"#322
Tie",Canada,USNEWS
Ivane Javakhishvili Tbilisi State University,"#322
Tie",Georgia,USNEWS
Queen's University Belfast,"#322
Tie",United Kingdom,USNEWS
University of Tartu,"#322
Tie",Estonia,USNEWS
Kyushu University,"#325
Tie",Japan,USNEWS
Technical University of Berlin,"#325
Tie",Germany,USNEWS
Texas A&M University at Qatar,"#325
Tie",Qatar,USNEWS
University of Connecticut,"#325
Tie",United States,USNEWS
Stellenbosch University,"#329
Tie",South Africa,USNEWS
Yonsei University,"#329
Tie",South Korea,USNEWS
Vienna University of Technology,#331,Austria,USNEWS
Beijing Normal University,"#332
Tie",China,USNEWS
King Saud University,"#332
Tie",Saudi Arabia,USNEWS
Xiamen University,"#332
Tie",China,USNEWS
Pohang University of Science and Technology,#335,South Korea,USNEWS
Linköping University,"#336
Tie",Sweden,USNEWS
South China University of Technology,"#336
Tie",China,USNEWS
Eindhoven University of Technology,"#338
Tie",Netherlands,USNEWS
Hunan University,"#338
Tie",China,USNEWS
University of Colorado--Denver,"#338
Tie",United States,USNEWS
University of KwaZulu Natal,"#338
Tie",South Africa,USNEWS
University of Savoie,"#338
Tie",France,USNEWS
Jagiellonian University,"#343
Tie",Poland,USNEWS
University of Turku,"#343
Tie",Finland,USNEWS
Xi'an Jiaotong University,"#343
Tie",China,USNEWS
Belarusian State University,"#346
Tie",Belarus,USNEWS
Federal University of Rio de Janeiro,"#346
Tie",Brazil,USNEWS
Syracuse University,"#346
Tie",United States,USNEWS
Aristotle University of Thessaloniki,"#349
Tie",Greece,USNEWS
Swedish University of Agricultural Sciences,"#349
Tie",Sweden,USNEWS
University of Kentucky,"#349
Tie",United States,USNEWS
Vita-Salute San Raffaele University,"#349
Tie",Italy,USNEWS
Baylor University,"#353
Tie",United States,USNEWS
University of Leipzig,"#353
Tie",Germany,USNEWS
Complutense University of Madrid,"#355
Tie",Spain,USNEWS
Ruhr University Bochum,"#355
Tie",Germany,USNEWS
University of Siena,#357,Italy,USNEWS
Heinrich Heine University of Dusseldorf,"#358
Tie",Germany,USNEWS
National Tsing Hua University,"#358
Tie",Taiwan,USNEWS
"Royal Holloway, University of London (RHUL)","#358
Tie",United Kingdom,USNEWS
Swinburne University of Technology,"#358
Tie",Australia,USNEWS
Ulsan National Institute of Science & Technology,"#358
Tie",South Korea,USNEWS
University of Liège,"#358
Tie",Belgium,USNEWS
Beihang University,"#364
Tie",China,USNEWS
University of Mississippi,"#364
Tie",United States,USNEWS
Friedrich Schiller University of Jena,"#366
Tie",Germany,USNEWS
University of Johannesburg,"#366
Tie",South Africa,USNEWS
University of Bari,#368,Italy,USNEWS
Chalmers University of Technology,"#369
Tie",Sweden,USNEWS
University of Iceland,"#369
Tie",Iceland,USNEWS
University of Ljubljana,"#369
Tie",Slovenia,USNEWS
University of Missouri,"#369
Tie",United States,USNEWS
University of Twente,"#369
Tie",Netherlands,USNEWS
Nankai University,"#374
Tie",China,USNEWS
University of Buenos Aires,"#374
Tie",Argentina,USNEWS
University of Eastern Finland,"#374
Tie",Finland,USNEWS
University of Massachusetts--Worcester,"#374
Tie",United States,USNEWS
University of Auvergne,#378,France,USNEWS
Queen's University,"#379
Tie",Canada,USNEWS
Universite de Lorraine,"#379
Tie",France,USNEWS
University of Hawaii--Manoa,"#379
Tie",United States,USNEWS
National Autonomous University of Mexico,#382,Mexico,USNEWS
Hannover Medical School,"#383
Tie",Germany,USNEWS
Louisiana State University--Baton Rouge,"#383
Tie",United States,USNEWS
University of Chile,"#385
Tie",Chile,USNEWS
University of Giessen,"#385
Tie",Germany,USNEWS
University of Houston,"#385
Tie",United States,USNEWS
Central South University,"#388
Tie",China,USNEWS
Kansas State University,"#388
Tie",United States,USNEWS
Medical University of Innsbruck,"#388
Tie",Austria,USNEWS
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"#388
Tie",Russia,USNEWS
Soochow University,"#388
Tie",China,USNEWS
University of Manitoba,"#388
Tie",Canada,USNEWS
Thomas Jefferson University,#394,United States,USNEWS
China University of Geosciences,"#395
Tie",China,USNEWS
University of South Australia,"#395
Tie",Australia,USNEWS
University of Tsukuba,"#395
Tie",Japan,USNEWS
Medical University of Graz,"#398
Tie",Austria,USNEWS
Middle East Technical University,"#398
Tie",Turkey,USNEWS
University of Tampere,"#398
Tie",Finland,USNEWS
Wake Forest University,#401,United States,USNEWS
Moscow Institute of Physics and Technology,"#402
Tie",Russia,USNEWS
Tianjin University,"#402
Tie",China,USNEWS
Virginia Commonwealth University,"#402
Tie",United States,USNEWS
Drexel University,"#405
Tie",United States,USNEWS
University of Oklahoma,"#405
Tie",United States,USNEWS
University of Tehran,"#405
Tie",Iran,USNEWS
La Trobe University,"#408
Tie",Australia,USNEWS
Universite Paris-Est (ComUE),"#408
Tie",France,USNEWS
University of Bath,"#408
Tie",United Kingdom,USNEWS
University of Nova de Lisboa,"#408
Tie",Portugal,USNEWS
Hokkaido University,"#412
Tie",Japan,USNEWS
National Technical University of Athens,"#412
Tie",Greece,USNEWS
University of Coimbra,"#412
Tie",Portugal,USNEWS
University of the Basque Country,#415,Spain,USNEWS
York University,#416,Canada,USNEWS
Florida International University,"#417
Tie",United States,USNEWS
Medical University of South Carolina,"#417
Tie",United States,USNEWS
University of Alabama,"#419
Tie",United States,USNEWS
University of Belgrade,"#419
Tie",Serbia,USNEWS
University of Oulu,"#419
Tie",Finland,USNEWS
